id,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm
2384,Hyde Park,41.7879,-87.5878,Private room,1,1 shared bath,1,1,$95.00 ,3,89,3,3,1125,1125,3,1125
7126,West Town,41.90166,-87.68021,Entire home/apt,2,1 bath,1,1,$65.00 ,2,60,2,2,1125,1125,2,1125
10945,Lincoln Park,41.91196,-87.63981,Entire home/apt,4,1 bath,2,2,$127.00 ,4,180,4,4,180,180,4,180
12140,Lincoln Park,41.92357,-87.64947,Private room,2,1 private bath,1,2,$329.00 ,2,7,2,2,7,7,2,7
22362,West Town,41.8973,-87.65889,Entire home/apt,4,2 baths,2,2,$105.00 ,121,1125,121,121,1125,1125,121,1125
24833,Lincoln Park,41.925961,-87.656364,Entire home/apt,3,1 bath,1,1,$60.00 ,32,395,32,90,395,395,49.8,395
25879,Lincoln Park,41.92499,-87.65573,Entire home/apt,6,1 bath,2,,$94.00 ,32,300,32,32,1125,1125,32,1125
28749,Logan Square,41.92138,-87.67931,Entire home/apt,6,2 baths,3,3,$161.00 ,2,10,2,4,7,10,2,9.9
37738,Uptown,41.97303,-87.66567,Private room,2,1.5 shared baths,1,1,$110.00 ,3,1125,3,3,1125,1125,3,1125
67940,Near South Side,41.84576,-87.61871,Entire home/apt,4,1 bath,1,2,$85.00 ,2,90,2,2,1125,1125,2,1125
71930,West Town,41.89615,-87.67934,Private room,2,1 shared bath,1,1,$65.00 ,3,90,3,3,1125,1125,3,1125
84042,West Town,41.89615,-87.67934,Private room,2,1 shared bath,1,1,$64.00 ,2,90,2,2,1125,1125,2,1125
85196,Logan Square,41.91541,-87.68083,Entire home/apt,2,1 bath,1,1,$75.00 ,32,60,32,32,60,60,32,60
145659,North Center,41.94342,-87.68121,Entire home/apt,8,2 baths,3,3,$204.00 ,2,1125,2,5,1125,1125,2.3,1125
145690,Lincoln Park,41.91289,-87.63864,Entire home/apt,10,2 baths,4,4,$249.00 ,2,1125,2,5,1125,1125,2.3,1125
166667,Lake View,41.94217,-87.67182,Entire home/apt,3,1 bath,1,1,$125.00 ,3,365,3,3,365,365,3,365
175511,Albany Park,41.96213,-87.72002,Entire home/apt,2,1 bath,1,1,$79.00 ,28,365,28,28,1125,1125,28,1125
